value,age,year,month,period,name,type
4480.0,35.166666666666664,2021,3,0,balance_appreciation,income
11865.16,35.166666666666664,2021,3,0,Aaron,income
2373.032,35.166666666666664,2021,3,0,Aaron_tax,expense
1096.34,35.166666666666664,2021,3,0,Aaron Retirement Match,income
404.49,35.166666666666664,2021,3,0,Amanda Retirement Match,income
8089.83,35.166666666666664,2021,3,0,Amanda,income
1617.9660000000001,35.166666666666664,2021,3,0,Amanda_tax,expense
348.22,35.166666666666664,2021,3,0,health insurance,expense
100.0,35.166666666666664,2021,3,0,health care,expense
32.5,35.166666666666664,2021,3,0,disability,expense
64.5,35.166666666666664,2021,3,0,Amanda FERS Retirement,expense
333.33,35.166666666666664,2021,3,0,529 clara,expense
333.33,35.166666666666664,2021,3,0,529 emily,expense
250.0,35.166666666666664,2021,3,0,clara summer camp,expense
200.0,35.166666666666664,2021,3,0,home maintanence,expense
1200.0,35.166666666666664,2021,3,0,tithe,expense
1700.0,35.166666666666664,2021,3,0,bills,expense
1378.0,35.166666666666664,2021,3,0,emily day care,expense
1700.0,35.166666666666664,2021,3,0,spending,expense
3174.46,35.166666666666664,2021,3,0,mortgage,expense
500.0,35.166666666666664,2021,3,0,land,expense
4542.011145,35.25,2021,4,1,balance_appreciation,income
11884.935266666667,35.25,2021,4,1,Aaron,income
2376.9870533333337,35.25,2021,4,1,Aaron_tax,expense
1098.1672333333333,35.25,2021,4,1,Aaron Retirement Match,income
405.16415,35.25,2021,4,1,Amanda Retirement Match,income
8103.313050000001,35.25,2021,4,1,Amanda,income
1620.6626100000003,35.25,2021,4,1,Amanda_tax,expense
348.8003666666667,35.25,2021,4,1,health insurance,expense
100.16666666666667,35.25,2021,4,1,health care,expense
32.55416666666667,35.25,2021,4,1,disability,expense
64.6075,35.25,2021,4,1,Amanda FERS Retirement,expense
333.88555,35.25,2021,4,1,529 clara,expense
333.88555,35.25,2021,4,1,529 emily,expense
250.41666666666669,35.25,2021,4,1,clara summer camp,expense
200.33333333333334,35.25,2021,4,1,home maintanence,expense
1202.0,35.25,2021,4,1,tithe,expense
1702.8333333333335,35.25,2021,4,1,bills,expense
1380.2966666666666,35.25,2021,4,1,emily day care,expense
1702.8333333333335,35.25,2021,4,1,spending,expense
3174.46,35.25,2021,4,1,mortgage,expense
500.0,35.25,2021,4,1,land,expense
4604.479541948612,35.333333333333336,2021,5,2,balance_appreciation,income
11904.710533333335,35.333333333333336,2021,5,2,Aaron,income
